All,ಎಲ್ಲಾ
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ಮಳಿಗೆ ಐಡಿ ತಪ್ಪಾಗಿದೆ. ಮಳಿಗೆ ಐಡಿ ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"More permissions are needed to save this setting.","ಈ ಸಂಯೋಜನೆಯನ್ನು ಉಳಿಸಲು ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
"Read Details","ವಿವರಗಳನ್ನು ಓದಿರಿ"
"Mark as Read","ಓದಿರುವಂತೆ ಗುರುತಿಸಿ"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
Remove,ತೆಗೆದುಹಾಕಿ
"Messages Inbox","ಸಂದೇಶಗಳ ಇನ್‍ಬಾಕ್ಸ್"
"Incoming Message","ಒಳಬರುವ ಸಂದೇಶ"
close,ಮುಚ್ಚಿರಿ
Notifications,ಅಧಿಸೂಚನೆಗಳು
"The message has been marked as Read.","ಸಂದೇಶವನ್ನು ಓದಿರುವಂತೆ ಗುರುತಿಸಲಾಗಿದೆ."
"Please select messages.","ದಯವಿಟ್ಟು ಸಂದೇಶಗಳನ್ನು ಆರಿಸಿ."
"A total of %1 record(s) have been marked as Read.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಓದಿರುವಂತೆ ಗುರುತಿಸಲಾಗಿದೆ."
"Total of %1 record(s) have been removed.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"The message has been removed.","ಸಂದೇಶವನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"1 Hour","1 ಗಂಟೆ"
"2 Hours","2 ಗಂಟೆಗಳು"
"6 Hours","6 ಗಂಟೆಗಳು"
"12 Hours","12 ಗಂಟೆಗಳು"
"24 Hours","24 ಗಂಟೆಗಳು"
critical,ಸಂದಿಗ್ಧ
major,ಪ್ರಮುಖ
minor,ಕಿರಿಯ
notice,ನೋಟೀಸು
"Wrong message type","ತಪ್ಪಾದ ಸಂದೇಶದ ವಿಧ"
Close,ಮುಚ್ಚಿರಿ
"See All (","ಎಲ್ಲವನ್ನೂ ನೋಡಿ("
" unread)"," ಓದಿಲ್ಲದಿರುವುದು)"
"Show Toolbar","ಉಪಕರಣಪಟ್ಟಿ ಪ್ರದರ್ಶಿಸಿ"
"Show List","ಪಟ್ಟಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Update Frequency","ಪರಿಷ್ಕರಣೆಯ ಆವರ್ತನ"
"Last Update","ಕೊನೆಯ ಪರಿಷ್ಕರಣೆ"
Severity,ತೀವ್ರತೆ
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
Message,ಸಂದೇಶ
Actions,ಕ್ರಿಯೆಗಳು
"Manage Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Create Order","ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
Back,ಹಿಂದೆ
"Add Products","ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Update Items and Quantities","ವಸ್ತುಗಳನ್ನು ಮತ್ತು ಪರಿಮಾಣವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Are you sure you want to clear your cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಲು ಬಯಸುವಿರಾ?"
"Clear my shopping cart","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Add selections to my cart","ಆಯ್ಕೆಗಳನ್ನು ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
Cancel,ರದ್ದುಪಡಿಸಿ
"Shopping Cart for %1 in %2","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗಾಗಿ %2 ರಲ್ಲಿ %1"
"Select products you want to buy","ನೀವು ಖರೀದಿಸಲು ಬಯಸುವ ಉತ್ಪನ್ನಗಳನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ"
Product,ಉತ್ಪನ್ನ
Price,ದರ
Quantity,ಪರಿಮಾಣ
"Products in the Comparison List (%1)","ಹೋಲಿಕೆ ಪಟ್ಟಿಯಲ್ಲಿನ ಉತ್ಪನ್ನಗಳು (%1)"
"Last ordered items (%1)","ಕೊನೆಯದಾಗಿ ವ್ಯಾಪಾರಾದೇಶಿಸಿದ ವಸ್ತುಗಳು (%1)"
Products,ಉತ್ಪನ್ನಗಳು
"Recently Compared Products (%1)","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು (%1)"
"Recently Viewed Products (%1)","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು (%1)"
"Add to Shopping Cart by SKU","SKU ನಂತೆ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Wish List (%1)","ಇಚ್ಛಾಪಟ್ಟಿ (%1)"
Apply,ಅನ್ವಯಿಸಿ
Configure,ಸಂರಚಿಸಿ
"Add to Order by SKU","SKU ನಂತೆ ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಸೇರಿಸಿ"
"Add to Order","ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಸೇರಿಸಿ"
"Add Products to Order","ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Remove All","ಎಲ್ಲವನ್ನೂ ತೆಗೆದುಹಾಕಿ"
"Only %1%2%3 left in stock","ಕೇವಲ %1%2%3 ಮಾತ್ರ ದಾಸ್ತಾನಿನಲ್ಲಿ ಉಳಿದಿದೆ"
"You can buy up to %1 of these per purchase.","ನೀವು ಇವುಗಳನ್ನು %1 ರ ತನಕ ಒಂದು ಸಲದ ಖರೀದಿಯಲ್ಲಿ ಖರೀದಿಸಬಹುದು."
"You must buy at least %1 of these per purchase.","ನೀವು ಇವುಗಳನ್ನು ಕನಿಷ್ಟ %1 ನ್ನು ಒಂದು ಸಲದ ಖರೀದಿಯಲ್ಲಿ ಖರೀದಿಸಲೇಬೇಕು."
"Specify the product's options.","ಉತ್ಪನದ ಆಯ್ಕೆಗಳನ್ನು ಸೂಚಿಸಿ."
"Alert me when this item is available.","ಈ ವಸ್ತುವು ಲಭ್ಯವಿರುವಾಗ ನನ್ನ ಗಮನಕ್ಕೆ ತನ್ನಿ."
"This customer couldn't be found. Verify the customer and try again.","ಗ್ರಾಹಕರು ಕಂಡುಬಂದಿಲ್ಲ. ಗ್ರಾಹಕರನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Shopping cart management is disabled for this customer.","ಈ ಗ್ರಾಹಕರಿಗೆ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯ ನಿರ್ವಹಣೆ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"This store couldn't be found. Verify the store and try again.","ಮಳಿಗೆ ಕಂಡುಬಂದಿಲ್ಲ. ಮಳಿಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
Customers,ಗ್ರಾಹಕರು
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"An error occurred. For details, see the error log.","ಒಂದು ದೋಷ ಸಂಭವಿಸಿದೆ. ವಿವರಗಳಿಗಾಗಿ ಎರರ್ ಲಾಗ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ."
"You do not have access to this.","ನಿಮಗೆ ಇದಕ್ಕೆ ಪ್ರವೇಶಾನುಮತಿ ಇಲ್ಲ."
"You cannot configure a product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಲಾಗುವುದಿಲ್ಲ."
"You removed the items.","ನೀವು ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"You removed the item.","ನೀವು ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"You added %1 to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"You cannot add a product.","ನೀವು ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Order by SKU","SKU ನಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"Availability: Out of stock.","ಲಭ್ಯತೆ: ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"We don't have as many of these as you want.","ನೀವು ಬಯಸಿರುವ ಸಂಖ್ಯೆಯಲ್ಲಿ ಈ ಉತ್ಪನ್ನ(ಗಳು) ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"You can't add this many to your cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಇಷ್ಟೊಂದು ವಸ್ತುಗಳನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You need to choose options for your item.","ನಿಮ್ಮ ವಸ್ತುಗಳಿಗೆ ಆಯ್ಕೆಗಳನ್ನು ಆರಿಸಬೇಕಾಗಿದೆ."
"We can't add the item to your cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸೇರಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Please enter an actual number in the ""Qty"" field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ""Qty"" ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"This product is assigned to another website.","ಈ ಉತ್ಪನ್ನವನ್ನು ಇನ್ನೊಂದು ಜಾಲತಾಣಕ್ಕೆ ವಹಿಸಲಾಗಿದೆ."
"You can add only enabled products.","ನೀವು ಸಕ್ರಿಯವಾಗಿರುವ ಉತ್ಪನ್ನಗಳನ್ನು ಮಾತ್ರ ಸೇರಿಸಬಹುದು."
"You cannot upload this file.","ನೀವು ಈ ಕಡತವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಲಾಗುವುದಿಲ್ಲ."
"The file is empty.","ಖಡತವು ಖಾಲಿಯಿದೆ."
"You have not entered a product SKU.","ನೀವು ಉತ್ಪನ್ನದ SKU ಅನ್ನು ನಮೂದಿಸಿಲ್ಲ."
"We can't add a product to cart by id ""%1"".","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ""%1"" ಐಡಿಯ ವಸ್ತುವನ್ನು ಸೇರಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Something went wrong while reordering this product.","ಈ ಉತ್ಪನ್ನವನ್ನು ಮರುಖರೀದಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"We can't find this wish list.","ನಾವು ಈ ಇಚ್ಛಾಪಟ್ಟಿಯನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಲಿಲ್ಲ."
"You added %1 product to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"You added %1 products to your shopping cart.","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ %1 ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"%1 product requires your attention.","%1 ಉತ್ಪನ್ನಕ್ಕೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ."
"%1 products require your attention.","%1 ಉತ್ಪನ್ನಗಳಿಗೆ ನಿಮ್ಮ ಗಮನ ಬೇಕಾಗಿದೆ."
"Yes, for Specified Customer Groups","ಹೌದು, ನಿಗದಿತ ಗ್ರಾಹಕರ ಗುಂಪುಗಳಿಗಾಗಿ"
"Yes, for Everyone","ಹೌದು, ಎಲ್ಲರಿಗಾಗಿ"
No,ಇಲ್ಲ
"Please upload the file in .csv format.","ದಯವಿಟ್ಟು .csv ಮಾದರಿಯಲ್ಲಿ ಕಡತವನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ."
"%1 item(s) need your attention.","%1 ವಸ್ತು(ಗಳು) ನಿಮ್ಮ ಗಮನ ಬಯಸುತ್ತಿವೆ."
"Apply Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Remove Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ತೆಗೆದುಹಾಕಿ"
"The coupon code ""%1"" is not valid.","ಕೂಪನ್ ಕೋಡ್ ""%1"" ಅಸಿಂಧುವಾಗಿದೆ."
"Shopping Cart Items","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ವಸ್ತುಗಳು"
Qty,ಪರಿಮಾಣ
Subtotal,ಉಪಮೊತ್ತ
Discount,ರಿಯಾಯಿತಿ
"Row Subtotal","ಸಾಲಿನ ಉಪಮೊತ್ತ"
Action,ಕ್ರಿಯೆ
"Total %1 product(s)","ಒಟ್ಟು %1 ಉತ್ಪನ್ನ(ಗಳು)"
Subtotal:,ಉಪಮೊತ್ತ:
"Please select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Move to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಿ"
"No item specified.","ಯಾವುದೆ ವಸ್ತುಗಳನ್ನು ಸೂಚಿಸಲಾಗಿಲ್ಲ."
"Are you sure you want to remove this item?","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"SKU number","SKU ಸಂಖ್ಯೆ"
"Upload File","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
Reset,ಮರುಹೊಂದಿಸಿ
"Only <span id=""%1_max_allowed"">%2</span> in stock","ಕೇವಲ <span id=""%1_max_allowed"">%2</span> ದಾಸ್ತಾನಿನಲ್ಲಿವೆ"
Item,ವಸ್ತು
"See price before order confirmation.","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"What's this?","ಇದು ಏನು?"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
Edit,ಸಂಪಾದಿಸಿ
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Products Requiring Attention","ಗಮನಿಸಬೇಕಾದ ಉತ್ಪನ್ನಗಳು"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
File,ಕಡತ
"Add Row","ಸಾಲನ್ನು ಸೇರಿಸಿ"
"Remove Row","ಸಾಲನ್ನು ತೆಗೆದುಹಾಕಿ"
"Add Products By SKU","SKU ನಂತೆ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Shopping Cart Management","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯ ನಿರ್ವಹಣೆ"
"View Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ"
"View and modify Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ ಮತ್ತು ಸಂಪಾದಿಸಿ"
"Order by SKU Settings","SKU ಸಂಯೋಜನೆಗಳಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Apply Coupon","ಕೂಪನ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Order by SKU Description","SKU ವಿವರಣೆಯಂತೆ ವ್ಯಾಪಾರಾದೇಶಿಸಿ"
"Display a Link to Loading a Spreadsheet","Spreadsheet ಅನ್ನು ತುಂಬಿಸಲು ಕೊಂಡಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Please correct the data sent.","ಕಳುಹಿಸಿದ ದತ್ತಾಂಶವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"There are no product types available for export","ರಫ್ತುಮಾಡಲು ಉತ್ಪನ್ನದ ವಿಧಗಳು ಯಾವುದೂ ಲಭ್ಯವಿಲ್ಲ"
"Sales Rule","ವ್ಯಾಪಾರದ ನಿಯಮ"
"Related Search Terms","ಸಂಬಂಧಿತ ಹುಡುಕುವಿಕೆಯ ಪದಪುಂಜಗಳು"
"Add New Search Term","ಹೊಸ ಹುಡುಕುವಿಕೆಯ ಪದಪುಂಜವನ್ನು ಸೇರಿಸಿ"
"Successful! Test again?","ಯಶಸ್ವಿಯಾಗಿದೆ! ಮತ್ತೆ ಪರೀಕ್ಷಿಸುವಿರಾ?"
"Connection failed! Test again?","ಸಂಪರ್ಕ ವಿಫಲವಾಗಿದೆ! ಮತ್ತೆ ಪರೀಕ್ಷಿಸುವಿರಾ?"
"Enable Search Suggestions","ಹುಡುಕಾಟದ ಶಿಫಾರಸ್ಸುಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Show Results Count for Each Suggestion","ಪ್ರತಿ ಸಲಹೆಗಳಿಗೆ ಫಲಿತಾಂಶದ ಎಣಿಕೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Related search terms","ಸಂಬಂಧಿತ ಹುಡುಕುವಿಕೆಯ ಪದಪುಂಜಗಳು"
"Did you mean","ನಿಮ್ಮ ಪ್ರಕಾರ"
Store,ಮಳಿಗೆ
Results,ಫಲಿತಾಂಶಗಳು
Uses,ಬಳಸುತ್ತಿದೆ
"Redirect URL","URL ಮರುನಿರ್ದೇಶಿಸಿ"
Yes,ಹೌದು
"Message has been rejected: %1","ಸಂದೇಶವನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ: %1"
"Subscription status","ಚಂದಾದಾರಿಕೆಯ ಸ್ಥಿತಿ"
"Sorry, there has been an error processing your request. Please try again later.","ಕ್ಷಮಿಸಿ, ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"Please select an industry.","ದಯವಿಟ್ಟು ಉದ್ಯಮವನ್ನು ಆರಿಸಿ."
"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"The ""%1"" source doesn't exist.","""%1"" ನ ಮೂಲ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"File is not ready yet.","ಕಡತ ಇನ್ನೂ ಸಜ್ಜುಗೊಂಡಿಲ್ಲ."
"Apps and Games","ಆಪ್‍ಗಳು ಮತ್ತು ಆಟಗಳು"
"Athletic/Sporting Goods","ಅತ್ಲೆಟಿಕ್/ಕ್ರೀಡಾ ಸಾಮಗ್ರಿಗಳು"
"Art and Design","ಕಲೆ ಮತ್ತು ವಿನ್ಯಾಸ"
"Advanced Reporting","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆ"
"Go to Advanced Reporting","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆಗೆ ತೆರಳಿ"
Analytics,ವಿಶ್ಲೇಷಣೆಗಳು
Configuration,ಸಂರಚನೆ
"Business Intelligence","ಉದ್ಯಮ ಬುದ್ಧಿಮತ್ತೆ"
"Advanced Reporting Service","ಸುಧಾರಿತ ವರದಿಗಾರಿಕೆ ಸೇವೆ"
"Time of day to send data","ದತ್ತಾಂಶ ಕಳುಹಿಸಲು ದಿನದ ಸಮಯ"
"Industry Data","ಉದ್ಯಮ ದತ್ತಾಂಶ"
Industry,ಉದ್ಯಮ
"Auto Parts","ಆಟೋ ಬಿಡಿಭಾಗಗಳು"
"Baby/Children’s Apparel, Gear and Toys","ಕೂಸಿನ/ಮಕ್ಕಳ ಉಡುಪುಗಳು, ಉಪಕರಣ ಮತ್ತು ಆಟಿಕೆಗಳು"
"Beauty and Cosmetics","ಸೌಂದರ್ಯ ಮತ್ತು ಪ್ರಸಾಧನ ಸಾಮಗ್ರಿಗಳು"
"Books, Music and Magazines","ಪುಸ್ತಕಗಳು, ಸಂಗೀತ ಮತ್ತು ನಿಯತಕಾಲಿಕೆಗಳು"
"Crafts and Stationery","ಕರಕುಶಲ ವಸ್ತುಗಳು ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿ"
"Consumer Electronics","ಗೃಹಬಳಕೆ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್"
"Fashion Apparel and Accessories","ಫ್ಯಾಶನ್ ಉಡುಪುಗಳು ಮತ್ತು ಪೂರಕ ಸಾಮಗ್ರಿಗಳು"
"Food, Beverage and Grocery","ಆಹಾರ, ಪಾನೀಯ ಮತ್ತು ಹಣ್ಣು ತರಕಾರಿಗಳು"
"Home Goods and Furniture","ಗೃಹೋಪಯೋಗಿ ವಸ್ತುಗಳು ಮತ್ತು ಪೀಠೋಪಕರಣಗಳು"
"Home Improvement","ಗೃಹ ಅಭಿವೃದ್ಧಿ ವಸ್ತುಗಳು"
"Jewelry and Watches","ಆಭರಣಗಳು ಮತ್ತು ಗಡಿಯಾರಗಳು"
"Mass Merchant","ಸಗಟು ವ್ಯಾಪಾರಿ"
"Office Supplies","ಕಛೇರಿ ಸಾಮಗ್ರಿಗಳು"
"Outdoor and Camping Gear","ಹೊರಾಂಗಣ ಮತ್ತು ಕ್ಯಾಂಪಿಂಗ್ ಉಪಕರಣಗಳು"
"Pet Goods","ಸಾಕುಪ್ರಾಣಿಗಳ ಸಾಮಗ್ರಿಗಳು"
"Pharma and Medical Devices","ಔಷಧೀಯ ಮತ್ತು ವೈದ್ಯಕೀಯ ಉಪಕರಣಗಳು"
"Technology B2B","ತಾಂತ್ರಿಕ B2B"
Other,ಇತರೆ
Done,ಮುಗಿದಿದೆ
Retry,ಮರುಪ್ರಯತ್ನಿಸಿ
"'Action Details - #' .","'ಕ್ರಿಯಗಳ ವಿವರ - #' ."
"Bulk Actions Log","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳ ಲಾಗ್"
"Topic %1","ವಿಷಯ %1"
"Something went wrong while processing the request.","ಈ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Sorry, something went wrong during product prices update. Please see log for details.","ಕ್ಷಮಿಸಿ, ಉತ್ಪನ್ನದ ಬೆಲೆಗಳನ್ನು ಪರಿಷ್ಕರಿಸುವಲ್ಲಿ ಯಾವುದೋ ತೊಂದರೆಯುಂಟಾಗಿದೆ, ದಯವಿಟ್ಟು ವಿವರಗಳಿಗಾಗಿ ಲಾಗ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ."
"%1 item(s) are currently being updated.","ಪ್ರಸ್ತುತ %1 ವಸ್ತು(ಗಳು) ಪರಿಷ್ಕರಣೆಗೊಳ್ಳುತ್ತಿವೆ."
"Task ""%1"": ","ಕೆಲಸ ""%1"": "
"%1 item(s) have been successfully updated.","%1 ವಸ್ತು(ಗಳು) ಯಶಸ್ವಿಯಾಗಿ ಪರಿಷ್ಕರಣೆಗೊಂಡಿವೆ."
"%1 item(s) failed to update","%1 ವಸ್ತು(ಗಳು) ಪರಿಷ್ಕರಣೆಗೊಳ್ಳುವಲ್ಲಿ ವಿಫಲವಾಗಿವೆ"
Details,ವಿವರಗಳು
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
Dismiss,ವಜಾಗೊಳಿಸಿ
"Pending, in queue...","ಬಾಕಿಯಿದೆ, ಸರತಿಯಲ್ಲಿವೆ..."
", %1 successfully updated",", %1 ಯಶಸ್ವಿಯಾಗಿ ಪರಿಷ್ಕರಣೆಗೊಂಡಿದೆ"
"Something went wrong.","ಯಾವುದೋ ತಪ್ಪು ಸಂಭವಿಸಿದೆ."
Report,ವರದಿ
"Bulk Actions","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳು"
"Description of Operation","ಕಾರ್ಯಾಚರಣೆಯ ವಿವರಣೆ"
Summary,ಸಾರಾಂಶ
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Items to Retry","ಮರುಪ್ರಯತ್ನಿಸಲು ವಸ್ತುಗಳು"
Status,ಸ್ಥಿತಿ
"Meta Information","ಮೆಟಾ ಮಾಹಿತಿ"
Error,ದೋಷ
